periodo,categoria,persistencia,salida,entrada
2021_t1-t2,TFSR,19.8,80.2,74.3
2021_t2-t3,Patron,46.6,53.4,48.2
2021_t2-t3,Cuenta_propia,70.1,29.9,24.9
2021_t2-t3,Asalariado,93.9,6.1,8.7
2021_t2-t3,TFSR,31.5,68.5,75.3
2021_t3-t4,Patron,52.6,47.4,45.9
2021_t3-t4,Cuenta_propia,75.8,24.2,25.5
2021_t3-t4,Asalariado,92.5,7.5,7.5
2021_t3-t4,TFSR,15.9,84.1,72.2
2021_t4-t1,Patron,41.2,58.8,42.9
2021_t4-t1,Cuenta_propia,73.9,26.1,25.4
2021_t4-t1,Asalariado,94.3,5.7,7.3
2021_t4-t1,TFSR,15.3,84.7,64.4
2022_t1-t2,Patron,46.6,53.4,61.4
2022_t1-t2,Cuenta_propia,74,26,23.9
2022_t1-t2,Asalariado,93.3,6.7,7
2022_t1-t2,TFSR,40.7,59.3,70.7
2022_t2-t3,Patron,47.1,52.9,44.1
2022_t2-t3,Cuenta_propia,76.9,23.1,26.4
2022_t2-t3,Asalariado,93.4,6.6,6
2022_t2-t3,TFSR,16.2,83.8,73.9
2022_t3-t4,Patron,45.5,54.5,46.1
2022_t3-t4,Cuenta_propia,74.9,25.1,27
2022_t3-t4,Asalariado,93.3,6.7,6.8
2022_t3-t4,TFSR,30.9,69.1,56.2
2022_t4-t1,Patron,43.1,56.9,49.1
2022_t4-t1,Cuenta_propia,75.6,24.4,25.8
2022_t4-t1,Asalariado,93.7,6.3,6
2022_t4-t1,TFSR,26,74,87.1
2023_t1-t2,Patron,33.9,66.1,64.2
2023_t1-t2,Cuenta_propia,74.8,25.2,26.7
2023_t1-t2,Asalariado,93.7,6.3,5.9
2023_t1-t2,TFSR,19.2,80.8,82.6
2023_t2-t3,Patron,49.5,50.5,48.6
2023_t2-t3,Cuenta_propia,74,26,25.8
2023_t2-t3,Asalariado,93.7,6.3,6.5
2023_t2-t3,TFSR,18.9,81.1,76
2023_t3-t4,Patron,49.9,50.1,43.7
2023_t3-t4,Cuenta_propia,74.1,25.9,24.9
2023_t3-t4,Asalariado,94.2,5.8,6.6
2023_t3-t4,TFSR,27.3,72.7,58.8
2023_t4-t1,Patron,40.2,59.8,52.3
2023_t4-t1,Cuenta_propia,75.5,24.5,25.7
2023_t4-t1,Asalariado,93.4,6.6,6.7
2023_t4-t1,TFSR,38.9,61.1,65.6
2024_t1-t2,Patron,55.5,44.5,48.3
2024_t1-t2,Cuenta_propia,72.4,27.6,24.3
2024_t1-t2,Asalariado,93.7,6.3,7
2024_t1-t2,TFSR,18.9,81.1,82.5
2024_t2-t3,Patron,44,56,52.3
2024_t2-t3,Cuenta_propia,74.2,25.8,24.9
2024_t2-t3,Asalariado,93.4,6.6,6.9
2024_t2-t3,TFSR,30.6,69.4,71.4
2024_t3-t4,Patron,49.6,50.4,50.7
2024_t3-t4,Cuenta_propia,75.7,24.3,26.9
2024_t3-t4,Asalariado,93,7,5.7
2024_t3-t4,TFSR,13.1,86.9,91.3
2024_t4-t1,Patron,49.6,50.4,53.9
2024_t4-t1,Cuenta_propia,75.7,24.3,27.5
2024_t4-t1,Asalariado,91.7,8.3,6.8
2024_t4-t1,TFSR,45.5,54.5,59.8
2025_t1-t2,Patron,52,48,49.9
2025_t1-t2,Cuenta_propia,75.7,24.3,26.1
2025_t1-t2,Asalariado,92.5,7.5,6.8
2025_t1-t2,TFSR,33.5,66.5,71.9
2025_t2-t3,Patron,39.1,60.9,48.6
2025_t2-t3,Cuenta_propia,81.2,18.8,23.9
2025_t2-t3,Asalariado,93.3,6.7,5.8
2025_t2-t3,TFSR,13,87,76.7
2025_t3-t4,Patron,33.7,66.3,54.6
2025_t3-t4,Cuenta_propia,74.1,25.9,26.8
2025_t3-t4,Asalariado,92.9,7.1,7.9
2025_t3-t4,TFSR,10.2,89.8,90.3
