periodo,categoria,persistencia,salida,entrada
2020_t3,TFSR,23.8,76.2,62.5
2020_t4,Patron,46.4,53.6,60.6
2020_t4,Cuenta_propia,66.8,33.2,26.9
2020_t4,Asalariado,92.2,7.8,11
2020_t4,TFSR,9.3,90.7,89
2021_t1,Patron,39.5,60.5,60.4
2021_t1,Cuenta_propia,68,32,28.3
2021_t1,Asalariado,92,8,9.9
2021_t1,TFSR,11.2,88.8,67.5
2021_t2,Patron,46.2,53.8,57.8
2021_t2,Cuenta_propia,63.5,36.5,26.3
2021_t2,Asalariado,94.1,5.9,9.8
2021_t2,TFSR,28.6,71.4,59.6
2021_t3,Patron,49.4,50.6,55.2
2021_t3,Cuenta_propia,66.1,33.9,30.4
2021_t3,Asalariado,92.2,7.8,8.8
2021_t3,TFSR,9.6,90.4,72.2
2021_t4,Patron,44.8,55.2,54.5
2021_t4,Cuenta_propia,69.1,30.9,29.8
2021_t4,Asalariado,92.1,7.9,8.2
2021_t4,TFSR,15,85,80
2022_t1,Patron,48.7,51.3,56.7
2022_t1,Cuenta_propia,69.4,30.6,28.2
2022_t1,Asalariado,92.1,7.9,8.3
2022_t1,TFSR,9,91,86.6
2022_t2,Patron,42.1,57.9,55.2
2022_t2,Cuenta_propia,71.3,28.7,31.5
2022_t2,Asalariado,91.4,8.6,7.8
2022_t2,TFSR,16.7,83.3,66.5
2022_t3,Patron,31.3,68.7,53.9
2022_t3,Cuenta_propia,70.3,29.7,27.9
2022_t3,Asalariado,93.7,6.3,9.4
2022_t3,TFSR,6.2,93.8,83.6
2022_t4,Patron,44.9,55.1,52.9
2022_t4,Cuenta_propia,69.1,30.9,29.5
2022_t4,Asalariado,92.4,7.6,8.4
2022_t4,TFSR,33.4,66.6,70.1
2023_t1,Patron,40.8,59.2,58.8
2023_t1,Cuenta_propia,70.3,29.7,32.1
2023_t1,Asalariado,92.2,7.8,7.3
2023_t1,TFSR,13.5,86.5,69.6
2023_t2,Patron,42.9,57.1,53.8
2023_t2,Cuenta_propia,74.3,25.7,29.5
2023_t2,Asalariado,92.4,7.6,6.6
2023_t2,TFSR,12.3,87.7,74.4
2023_t3,Patron,45.2,54.8,49.2
2023_t3,Cuenta_propia,71,29,30.8
2023_t3,Asalariado,92.3,7.7,7.3
2023_t3,TFSR,14.3,85.7,93.7
2023_t4,Patron,47.4,52.6,46
2023_t4,Cuenta_propia,72,28,31.4
2023_t4,Asalariado,91.6,8.4,7.6
2023_t4,TFSR,30.5,69.5,75.5
2024_t1,Patron,39.8,60.2,58.6
2024_t1,Cuenta_propia,70.1,29.9,33.3
2024_t1,Asalariado,90.3,9.7,8.3
2024_t1,TFSR,19.6,80.4,77.5
2024_t2,Patron,44.7,55.3,56.2
2024_t2,Cuenta_propia,71.1,28.9,30.3
2024_t2,Asalariado,91.2,8.8,7.8
2024_t2,TFSR,9,91,94.4
2024_t3,Patron,38.4,61.6,60.2
2024_t3,Cuenta_propia,72.6,27.4,30.5
2024_t3,Asalariado,91.6,8.4,7.3
2024_t3,TFSR,32.6,67.4,48.3
2024_t4,Patron,42.3,57.7,58.7
2024_t4,Cuenta_propia,75.5,24.5,27.6
2024_t4,Asalariado,90.6,9.4,8
2024_t4,TFSR,19.9,80.1,79
