periodo,categoria,persistencia,salida,entrada
2019_t4,Ocupado,82.6,17.4,12.4
2019_t4,Desocupado,27.9,72.1,74.3
2019_t4,Inactivo,87.9,12.1,20.5
2019_t4,Trab_familiar,86.8,13.2,0.3
2020_t1,Ocupado,84.5,15.5,14.1
2020_t1,Desocupado,28.1,71.9,69.7
2020_t1,Inactivo,87.2,12.8,18.7
2020_t1,Trab_familiar,86.7,13.3,0.8
2020_t2,Ocupado,89.2,10.8,25.4
2020_t2,Desocupado,28.1,71.9,69.5
2020_t2,Inactivo,77.9,22.1,15
2020_t2,Trab_familiar,84.2,15.8,1
2020_t3,Ocupado,87.1,12.9,19.4
2020_t3,Desocupado,24.9,75.1,70.4
2020_t3,Inactivo,81.8,18.2,17.2
2020_t3,Trab_familiar,82.8,17.2,1.6
2020_t4,Ocupado,89,11,18.3
2020_t4,Desocupado,18,82,76.5
2020_t4,Inactivo,82.9,17.1,15.5
2020_t4,Trab_familiar,86.6,13.4,2.1
2021_t1,Ocupado,88.1,11.9,15.5
2021_t1,Desocupado,19.2,80.8,69.7
2021_t1,Inactivo,86.4,13.6,18.3
2021_t1,Trab_familiar,83.9,16.1,1.2
2021_t2,Ocupado,89.1,10.9,16.3
2021_t2,Desocupado,15.1,84.9,72.8
2021_t2,Inactivo,85.3,14.7,15.4
2021_t2,Trab_familiar,86.3,13.7,0.8
2021_t3,Ocupado,87.9,12.1,13.8
2021_t3,Desocupado,21.1,78.9,76.3
2021_t3,Inactivo,86,14,16.4
2021_t3,Trab_familiar,87.2,12.8,0.5
2021_t4,Ocupado,88,12,14.2
2021_t4,Desocupado,22.7,77.3,76.2
2021_t4,Inactivo,85.3,14.7,15.9
2021_t4,Trab_familiar,89.1,10.9,0.4
2022_t1,Ocupado,87.7,12.3,13.5
2022_t1,Desocupado,24.2,75.8,78.4
2022_t1,Inactivo,84.6,15.4,16
2022_t1,Trab_familiar,90,10,0.5
2022_t2,Ocupado,88.6,11.4,12.9
2022_t2,Desocupado,18.5,81.5,80.7
2022_t2,Inactivo,86.2,13.8,15.5
2022_t2,Trab_familiar,88,12,0.3
2022_t3,Ocupado,88.8,11.2,13.4
2022_t3,Desocupado,17.2,82.8,81
2022_t3,Inactivo,85.9,14.1,16
2022_t3,Trab_familiar,87.7,12.3,1.1
2022_t4,Ocupado,89.2,10.8,12.9
2022_t4,Desocupado,19,81,81.3
2022_t4,Inactivo,85.3,14.7,16.3
2022_t4,Trab_familiar,86.3,13.7,0.4
2023_t1,Ocupado,87,13,12.5
2023_t1,Desocupado,22.3,77.7,82.1
2023_t1,Inactivo,85.8,14.2,17.1
2023_t1,Trab_familiar,86.3,13.7,0.3
2023_t2,Ocupado,88.8,11.2,11.9
2023_t2,Desocupado,23.3,76.7,79.2
2023_t2,Inactivo,86.4,13.6,14.9
2023_t2,Trab_familiar,89.2,10.8,0.7
2023_t3,Ocupado,87.4,12.6,12.4
2023_t3,Desocupado,28,72,78.5
2023_t3,Inactivo,85.7,14.3,17
2023_t3,Trab_familiar,84.3,15.7,1.1
2023_t4,Ocupado,87.9,12.1,13.1
2023_t4,Desocupado,22,78,80.3
2023_t4,Inactivo,85.6,14.4,16.1
2023_t4,Trab_familiar,87.1,12.9,0.3
2024_t1,Ocupado,86.8,13.2,13.7
2024_t1,Desocupado,25,75,76.1
2024_t1,Inactivo,86,14,16.2
2024_t1,Trab_familiar,86.8,13.2,0.8
2024_t2,Ocupado,86.7,13.3,13.8
2024_t2,Desocupado,25.7,74.3,74.5
2024_t2,Inactivo,86.4,13.6,17.2
2024_t2,Trab_familiar,84.6,15.4,1.3
2024_t3,Ocupado,87.7,12.3,12.7
2024_t3,Desocupado,24.2,75.8,77.7
2024_t3,Inactivo,85.8,14.2,16.6
2024_t3,Trab_familiar,88.4,11.6,0.7
2024_t4,Ocupado,87.2,12.8,12.2
2024_t4,Desocupado,19.4,80.6,84.7
2024_t4,Inactivo,85.6,14.4,17.5
2024_t4,Trab_familiar,84.4,15.6,1
