from,to,weight,id,periodo_base,categoria,periodo
Cuenta_propia_t0,Cuenta_propia_t1,80.6,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2020_t2-t3
Cuenta_propia_t0,Asalariado_t1,15,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2020_t2-t3
Cuenta_propia_t0,Patron_t1,3.6,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2020_t2-t3
Cuenta_propia_t0,TFSR_t1,0.8,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2020_t2-t3
Asalariado_t0,Asalariado_t1,94.7,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2020_t2-t3
Asalariado_t0,Cuenta_propia_t1,4.7,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2020_t2-t3
Asalariado_t0,Patron_t1,0.5,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2020_t2-t3
Asalariado_t0,TFSR_t1,0.1,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2020_t2-t3
Patron_t0,Patron_t1,57.6,Patron_t0 - Patron_t1,t_anterior,Patron,2020_t3-t4
Patron_t0,Asalariado_t1,7.3,Patron_t0 - Asalariado_t1,t_anterior,Patron,2020_t3-t4
Patron_t0,Cuenta_propia_t1,35.1,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2020_t3-t4
Cuenta_propia_t0,Cuenta_propia_t1,83.3,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2020_t3-t4
Cuenta_propia_t0,Asalariado_t1,13.7,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2020_t3-t4
Cuenta_propia_t0,Patron_t1,2.8,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2020_t3-t4
Cuenta_propia_t0,TFSR_t1,0.3,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2020_t3-t4
Asalariado_t0,Asalariado_t1,95.2,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2020_t3-t4
Asalariado_t0,Patron_t1,0.3,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2020_t3-t4
Asalariado_t0,Cuenta_propia_t1,4.4,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2020_t3-t4
Asalariado_t0,TFSR_t1,0.1,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2020_t3-t4
Patron_t0,Cuenta_propia_t1,22.3,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2020_t4-t1
Patron_t0,Patron_t1,69.5,Patron_t0 - Patron_t1,t_anterior,Patron,2020_t4-t1
Patron_t0,Asalariado_t1,8,Patron_t0 - Asalariado_t1,t_anterior,Patron,2020_t4-t1
Patron_t0,TFSR_t1,0.2,Patron_t0 - TFSR_t1,t_anterior,Patron,2020_t4-t1
Cuenta_propia_t0,Cuenta_propia_t1,79.4,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2020_t4-t1
Cuenta_propia_t0,Asalariado_t1,17,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2020_t4-t1
Cuenta_propia_t0,Patron_t1,3.3,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2020_t4-t1
Cuenta_propia_t0,TFSR_t1,0.3,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2020_t4-t1
Asalariado_t0,Asalariado_t1,94.8,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2020_t4-t1
Asalariado_t0,Cuenta_propia_t1,4.5,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2020_t4-t1
Asalariado_t0,Patron_t1,0.6,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2020_t4-t1
Asalariado_t0,TFSR_t1,0,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2020_t4-t1
Patron_t0,Patron_t1,52.7,Patron_t0 - Patron_t1,t_anterior,Patron,2021_t1-t2
