from,to,weight,id,periodo_base,categoria,periodo
Informal_t0,Formal_t1,15.8,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t4-t1
Informal_t0,Informal_t1,84.2,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t4-t1
Formal_t0,Formal_t1,93.3,Formal_t0 - Formal_t1,t_anterior,Formal,2013_t1-t2
Formal_t0,Informal_t1,6.7,Formal_t0 - Informal_t1,t_anterior,Formal,2013_t1-t2
Informal_t0,Informal_t1,82.7,Informal_t0 - Informal_t1,t_anterior,Informal,2013_t1-t2
Informal_t0,Formal_t1,17.3,Informal_t0 - Formal_t1,t_anterior,Informal,2013_t1-t2
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2013_t2-t3
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2013_t2-t3
Informal_t0,Formal_t1,14,Informal_t0 - Formal_t1,t_anterior,Informal,2013_t2-t3
Informal_t0,Informal_t1,86,Informal_t0 - Informal_t1,t_anterior,Informal,2013_t2-t3
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2013_t3-t4
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2013_t3-t4
Informal_t0,Informal_t1,82.2,Informal_t0 - Informal_t1,t_anterior,Informal,2013_t3-t4
Informal_t0,Formal_t1,17.8,Informal_t0 - Formal_t1,t_anterior,Informal,2013_t3-t4
Formal_t0,Formal_t1,95.1,Formal_t0 - Formal_t1,t_anterior,Formal,2013_t4-t1
Formal_t0,Informal_t1,4.9,Formal_t0 - Informal_t1,t_anterior,Formal,2013_t4-t1
Informal_t0,Informal_t1,86,Informal_t0 - Informal_t1,t_anterior,Informal,2013_t4-t1
Informal_t0,Formal_t1,14,Informal_t0 - Formal_t1,t_anterior,Informal,2013_t4-t1
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2014_t1-t2
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2014_t1-t2
Informal_t0,Informal_t1,85.4,Informal_t0 - Informal_t1,t_anterior,Informal,2014_t1-t2
Informal_t0,Formal_t1,14.6,Informal_t0 - Formal_t1,t_anterior,Informal,2014_t1-t2
Formal_t0,Formal_t1,94,Formal_t0 - Formal_t1,t_anterior,Formal,2014_t2-t3
Formal_t0,Informal_t1,6,Formal_t0 - Informal_t1,t_anterior,Formal,2014_t2-t3
Informal_t0,Informal_t1,86.2,Informal_t0 - Informal_t1,t_anterior,Informal,2014_t2-t3
Informal_t0,Formal_t1,13.8,Informal_t0 - Formal_t1,t_anterior,Informal,2014_t2-t3
Formal_t0,Formal_t1,94.4,Formal_t0 - Formal_t1,t_anterior,Formal,2014_t3-t4
Formal_t0,Informal_t1,5.6,Formal_t0 - Informal_t1,t_anterior,Formal,2014_t3-t4
Informal_t0,Informal_t1,85.8,Informal_t0 - Informal_t1,t_anterior,Informal,2014_t3-t4
Informal_t0,Formal_t1,14.2,Informal_t0 - Formal_t1,t_anterior,Informal,2014_t3-t4
Formal_t0,Formal_t1,95.4,Formal_t0 - Formal_t1,t_anterior,Formal,2014_t4-t1
Formal_t0,Informal_t1,4.6,Formal_t0 - Informal_t1,t_anterior,Formal,2014_t4-t1
Informal_t0,Informal_t1,81.4,Informal_t0 - Informal_t1,t_anterior,Informal,2014_t4-t1
Informal_t0,Formal_t1,18.6,Informal_t0 - Formal_t1,t_anterior,Informal,2014_t4-t1
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2015_t1-t2
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2015_t1-t2
Informal_t0,Informal_t1,83.8,Informal_t0 - Informal_t1,t_anterior,Informal,2015_t1-t2
Informal_t0,Formal_t1,16.2,Informal_t0 - Formal_t1,t_anterior,Informal,2015_t1-t2
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2016_t2-t3
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2016_t2-t3
Informal_t0,Formal_t1,16.5,Informal_t0 - Formal_t1,t_anterior,Informal,2016_t2-t3
Informal_t0,Informal_t1,83.5,Informal_t0 - Informal_t1,t_anterior,Informal,2016_t2-t3
Formal_t0,Formal_t1,94.1,Formal_t0 - Formal_t1,t_anterior,Formal,2016_t3-t4
Formal_t0,Informal_t1,5.9,Formal_t0 - Informal_t1,t_anterior,Formal,2016_t3-t4
Informal_t0,Informal_t1,82.4,Informal_t0 - Informal_t1,t_anterior,Informal,2016_t3-t4
Informal_t0,Formal_t1,17.6,Informal_t0 - Formal_t1,t_anterior,Informal,2016_t3-t4
Formal_t0,Formal_t1,93.8,Formal_t0 - Formal_t1,t_anterior,Formal,2016_t4-t1
Formal_t0,Informal_t1,6.2,Formal_t0 - Informal_t1,t_anterior,Formal,2016_t4-t1
Informal_t0,Informal_t1,83.5,Informal_t0 - Informal_t1,t_anterior,Informal,2016_t4-t1
Informal_t0,Formal_t1,16.5,Informal_t0 - Formal_t1,t_anterior,Informal,2016_t4-t1
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2017_t1-t2
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2017_t1-t2
Informal_t0,Informal_t1,86.5,Informal_t0 - Informal_t1,t_anterior,Informal,2017_t1-t2
Informal_t0,Formal_t1,13.5,Informal_t0 - Formal_t1,t_anterior,Informal,2017_t1-t2
Formal_t0,Formal_t1,94.4,Formal_t0 - Formal_t1,t_anterior,Formal,2017_t2-t3
Formal_t0,Informal_t1,5.6,Formal_t0 - Informal_t1,t_anterior,Formal,2017_t2-t3
Informal_t0,Informal_t1,81.8,Informal_t0 - Informal_t1,t_anterior,Informal,2017_t2-t3
Informal_t0,Formal_t1,18.2,Informal_t0 - Formal_t1,t_anterior,Informal,2017_t2-t3
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2017_t3-t4
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2017_t3-t4
Informal_t0,Informal_t1,81.6,Informal_t0 - Informal_t1,t_anterior,Informal,2017_t3-t4
Informal_t0,Formal_t1,18.4,Informal_t0 - Formal_t1,t_anterior,Informal,2017_t3-t4
Formal_t0,Formal_t1,94.7,Formal_t0 - Formal_t1,t_anterior,Formal,2017_t4-t1
Formal_t0,Informal_t1,5.3,Formal_t0 - Informal_t1,t_anterior,Formal,2017_t4-t1
Informal_t0,Informal_t1,83.2,Informal_t0 - Informal_t1,t_anterior,Informal,2017_t4-t1
Informal_t0,Formal_t1,16.8,Informal_t0 - Formal_t1,t_anterior,Informal,2017_t4-t1
Formal_t0,Formal_t1,93.4,Formal_t0 - Formal_t1,t_anterior,Formal,2018_t1-t2
Formal_t0,Informal_t1,6.6,Formal_t0 - Informal_t1,t_anterior,Formal,2018_t1-t2
Informal_t0,Informal_t1,85,Informal_t0 - Informal_t1,t_anterior,Informal,2018_t1-t2
Informal_t0,Formal_t1,15,Informal_t0 - Formal_t1,t_anterior,Informal,2018_t1-t2
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2018_t2-t3
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2018_t2-t3
Informal_t0,Informal_t1,84.8,Informal_t0 - Informal_t1,t_anterior,Informal,2018_t2-t3
Informal_t0,Formal_t1,15.2,Informal_t0 - Formal_t1,t_anterior,Informal,2018_t2-t3
Formal_t0,Formal_t1,94.1,Formal_t0 - Formal_t1,t_anterior,Formal,2018_t3-t4
Formal_t0,Informal_t1,5.9,Formal_t0 - Informal_t1,t_anterior,Formal,2018_t3-t4
Informal_t0,Informal_t1,85,Informal_t0 - Informal_t1,t_anterior,Informal,2018_t3-t4
Informal_t0,Formal_t1,15,Informal_t0 - Formal_t1,t_anterior,Informal,2018_t3-t4
Formal_t0,Formal_t1,93.7,Formal_t0 - Formal_t1,t_anterior,Formal,2018_t4-t1
Formal_t0,Informal_t1,6.3,Formal_t0 - Informal_t1,t_anterior,Formal,2018_t4-t1
Informal_t0,Informal_t1,84.6,Informal_t0 - Informal_t1,t_anterior,Informal,2018_t4-t1
Informal_t0,Formal_t1,15.4,Informal_t0 - Formal_t1,t_anterior,Informal,2018_t4-t1
Formal_t0,Formal_t1,95.2,Formal_t0 - Formal_t1,t_anterior,Formal,2019_t1-t2
Formal_t0,Informal_t1,4.8,Formal_t0 - Informal_t1,t_anterior,Formal,2019_t1-t2
Informal_t0,Informal_t1,86.2,Informal_t0 - Informal_t1,t_anterior,Informal,2019_t1-t2
Informal_t0,Formal_t1,13.8,Informal_t0 - Formal_t1,t_anterior,Informal,2019_t1-t2
Formal_t0,Formal_t1,95.2,Formal_t0 - Formal_t1,t_anterior,Formal,2019_t2-t3
Formal_t0,Informal_t1,4.8,Formal_t0 - Informal_t1,t_anterior,Formal,2019_t2-t3
Informal_t0,Informal_t1,86,Informal_t0 - Informal_t1,t_anterior,Informal,2019_t2-t3
Informal_t0,Formal_t1,14,Informal_t0 - Formal_t1,t_anterior,Informal,2019_t2-t3
Formal_t0,Formal_t1,94.7,Formal_t0 - Formal_t1,t_anterior,Formal,2019_t3-t4
